lat,lon,fire_val,date
40.954166662991284,-7.983175389805374,7.0,2017-10-09
40.9458333296587,-8.136625879902729,8.0,2017-10-09
40.9458333296587,-8.125593166845235,8.0,2017-10-09
40.9458333296587,-8.114560453787737,9.0,2017-10-09
40.9458333296587,-8.103527740730243,9.0,2017-10-09
40.93749999632612,-8.135599323090155,8.0,2017-10-09
40.93749999632612,-8.124568001974101,8.0,2017-10-09
40.93749999632612,-8.113536680858045,9.0,2017-10-09
40.93749999632612,-8.102505359741993,9.0,2017-10-09
40.929166662993545,-8.112513337814597,9.0,2017-10-09
40.929166662993545,-8.101483408055504,9.0,2017-10-09
40.795833329672256,-8.239298861071662,9.0,2017-10-09
40.795833329672256,-8.22829111376228,9.0,2017-10-09
40.795833329672256,-8.217283366452898,9.0,2017-10-09
40.795833329672256,-8.206275619143518,9.0,2017-10-09
40.787499996339676,-8.227258469833465,9.0,2017-10-09
40.787499996339676,-8.216252103987536,9.0,2017-10-09
40.787499996339676,-8.205245738141604,9.0,2017-10-09
40.787499996339676,-8.194239372295673,9.0,2017-10-09
40.220833329724236,-7.983423815878738,9.0,2017-10-09
40.220833329724236,-7.972510044428457,9.0,2017-10-09
40.220833329724236,-7.961596272978179,9.0,2017-10-09
40.220833329724236,-7.9506825015279015,9.0,2017-10-09
40.220833329724236,-7.896113644276508,8.0,2017-10-09
40.220833329724236,-7.88519987282623,8.0,2017-10-09
40.212499996391664,-7.982442056128396,9.0,2017-10-09
40.212499996391664,-7.971529626796709,9.0,2017-10-09
40.212499996391664,-7.960617197465023,9.0,2017-10-09
40.212499996391664,-7.906055050806592,8.0,2017-10-09
40.212499996391664,-7.895142621474907,8.0,2017-10-09
40.212499996391664,-7.884230192143219,9.0,2017-10-09
40.20416666305908,-7.99237179440462,9.0,2017-10-09
40.20416666305908,-7.981460706630689,9.0,2017-10-09
40.20416666305908,-7.970549618856757,9.0,2017-10-09
40.20416666305908,-7.959638531082826,9.0,2017-10-09
40.20416666305908,-7.894172004439239,8.0,2017-10-09
40.20416666305908,-7.883260916665308,9.0,2017-10-09
40.20416666305908,-7.872349828891374,9.0,2017-10-09
40.1958333297265,-7.9695700204160715,9.0,2017-10-09
40.1958333297265,-7.958660273639321,9.0,2017-10-09
40.1958333297265,-7.89320179297882,8.0,2017-10-09
40.1958333297265,-7.882292046202069,8.0,2017-10-09
40.16249999639618,-7.889324999080381,7.0,2017-10-09
40.16249999639618,-7.87842061069188,8.0,2017-10-09
40.154166663063606,-7.888356812640422,7.0,2017-10-09
40.154166663063606,-7.8774537624501795,8.0,2017-10-09
40.154166663063606,-7.866550712259936,9.0,2017-10-09
40.154166663063606,-7.855647662069695,9.0,2017-10-09
40.145833329731026,-7.865585605532357,9.0,2017-10-09
40.145833329731026,-7.854683892981378,9.0,2017-10-09
40.12916666306587,-7.907252757061514,9.0,2017-10-09
40.12916666306587,-7.896353718113117,9.0,2017-10-09
40.12916666306587,-7.88545467916472,9.0,2017-10-09
40.12916666306587,-7.874555640216325,8.0,2017-10-09
40.12083332973329,-7.917181218275724,9.0,2017-10-09
40.12083332973329,-7.9062835152911735,9.0,2017-10-09
40.12083332973329,-7.895385812306623,9.0,2017-10-09
40.12083332973329,-7.8844881093220724,9.0,2017-10-09
40.12083332973329,-7.873590406337524,8.0,2017-10-09
40.12083332973329,-7.862692703352971,8.0,2017-10-09
43.13749999612724,-2.2782869820997043,8.0,2017-10-10
43.12916666279466,-2.2665581282056313,8.0,2017-10-10
43.095833329464334,-6.85303297432763,9.0,2017-10-10
43.095833329464334,-6.841620762879957,9.0,2017-10-10
43.095833329464334,-6.8302085514322854,8.0,2017-10-10
43.08749999613176,-6.863511241923166,9.0,2017-10-10
43.08749999613176,-6.85210058316685,9.0,2017-10-10
43.08749999613176,-6.840689924410535,9.0,2017-10-10
43.08749999613176,-6.829279265654222,9.0,2017-10-10
43.079166662799175,-6.862577697323528,9.0,2017-10-10
43.079166662799175,-6.851168590594809,9.0,2017-10-10
43.079166662799175,-6.839759483866092,9.0,2017-10-10
43.079166662799175,-6.828350377137374,9.0,2017-10-10
43.070833329466595,-6.861644551774014,9.0,2017-10-10
43.070833329466595,-6.850236996409467,9.0,2017-10-10
43.070833329466595,-6.838829441044921,8.0,2017-10-10
43.070833329466595,-6.827421885680377,8.0,2017-10-10
42.96249999614306,-4.25321177172693,9.0,2017-10-10
42.96249999614306,-4.241824323877594,9.0,2017-10-10
42.96249999614306,-4.230436876028259,9.0,2017-10-10
42.95416666281047,-4.2412498873758,9.0,2017-10-10
42.95416666281047,-4.229863981637879,9.0,2017-10-10
42.94583332947789,-4.240675696130719,9.0,2017-10-10
42.2374999962086,-7.445653841731788,8.0,2017-10-10
42.2374999962086,-7.434398129197047,8.0,2017-10-10
