,lat,lon,type,subtype
20649,10.3855101,98.7699904,place,hamlet
20650,19.0796182,96.6871977,tourism,viewpoint
20651,19.0748696,96.6211951,place,village
20652,19.023296,96.633165,place,village
20653,19.0173953,96.6951001,place,village
20654,19.0898419,96.5948978,place,village
20655,19.0871478,96.7189337,place,village
20656,19.0483498,96.6450834,place,village
20657,19.0403564,96.7320895,place,village
20658,19.0293721,96.6399573,place,village
20659,19.06145,96.68232,tourism,viewpoint
20660,19.05759,96.6638,tourism,viewpoint
20661,19.06596,96.67655,tourism,viewpoint
20662,19.07034,96.67382,tourism,viewpoint
20663,19.066496,96.673565,tourism,guest_house
20664,19.06603,96.671216,tourism,guest_house
20665,19.065399,96.67152,tourism,guest_house
20666,19.07513,96.67489,tourism,viewpoint
20667,19.070347,96.676577,tourism,guest_house
20668,19.070124,96.676196,tourism,guest_house
20669,19.070547,96.676436,tourism,guest_house
20670,19.07339,96.67939,tourism,viewpoint
20671,19.071684,96.677986,tourism,guest_house
20672,19.070047,96.680977,tourism,guest_house
20673,19.069823,96.676427,shop,general
20674,19.064836,96.672728,shop,gift
20675,19.067303,96.683331,shop,general
20676,19.070732,96.683114,shop,general
20677,19.070281,96.682448,shop,water
20678,19.069243,96.682913,shop,general
20679,19.070543,96.681886,shop,general
20680,19.070219,96.682178,shop,copyshop
20681,19.070818,96.681456,shop,shoes
20682,19.070709,96.681502,shop,bakery
20683,19.070919,96.68153,shop,motorcycle
20684,19.07138,96.681164,tourism,guest_house
20685,19.071298,96.680907,shop,clothes
20686,19.072027,96.679998,shop,general
20687,19.075665,96.68118,tourism,viewpoint
20688,19.07583,96.679838,tourism,viewpoint
20689,19.073333,96.683042,tourism,guest_house
20690,19.073022,96.679631,shop,general
20691,19.07362,96.682502,tourism,guest_house
20692,19.072692,96.679225,shop,general
20693,19.072973,96.679574,shop,hairdresser
20694,19.072707,96.678867,shop,gift
20695,19.072883,96.679122,shop,gift
20696,19.0719137,96.6783176,tourism,guest_house
20697,19.07254,96.678805,shop,clothes
20698,19.071795,96.6781683,tourism,guest_house
20699,19.071533,96.677693,shop,beauty
20700,19.071231,96.677164,shop,restaurant
20701,19.070306,96.676499,shop,motorcycle
20702,19.070711,96.676547,shop,clothes
20703,19.070341,96.676331,shop,general
20704,19.069814,96.676291,shop,gift
20705,19.069012,96.676312,shop,restaurant
